addresscountryname,city_actual,rating_reviewcount,center1distance,center1label,center2distance,center2label,neighbourhood,price,price_night,s_city,starrating,rating2_ta,rating2_ta_reviewcount,accommodationtype,guestreviewsrating,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday
Hungary,Budapest,157,0.9 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,150,price for 1 night,Budapest,4,4,1352,_ACCOM_TYPE@Hotel,4.1 /5,0,3078,1,75%+ offer ,2018,4,1,0
Hungary,Budapest,157,0.9 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,86,price for 1 night,Budapest,4,4,1352,_ACCOM_TYPE@Hotel,4.1 /5,1,3078,1,75%+ offer ,2017,11,0,0
Hungary,Budapest,157,0.9 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,99,price for 1 night,Budapest,4,4,1352,_ACCOM_TYPE@Hotel,4.1 /5,1,3078,1,75%+ offer ,2017,12,0,1
Hungary,Budapest,157,0.9 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,150,price for 1 night,Budapest,4,4,1352,_ACCOM_TYPE@Hotel,4.1 /5,0,3078,1,75%+ offer ,2018,6,1,0
Hungary,Budapest,157,0.9 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,130,price for 1 night,Budapest,4,4,1352,_ACCOM_TYPE@Hotel,4.1 /5,0,3078,1,75%+ offer ,2018,3,1,0
Hungary,Budapest,157,0.9 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,79,price for 1 night,Budapest,4,4,1352,_ACCOM_TYPE@Hotel,4.1 /5,1,3078,1,75%+ offer ,2018,1,1,0
Hungary,Budapest,157,0.9 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,90,price for 1 night,Budapest,4,4,1352,_ACCOM_TYPE@Hotel,4.1 /5,0,3078,1,75%+ offer ,2018,2,1,0
Hungary,Budapest,157,0.9 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,562,price for 4 nights,Budapest,4,4,1352,_ACCOM_TYPE@Hotel,4.1 /5,1,3078,1,75%+ offer ,2017,12,0,1
Hungary,Budapest,157,0.9 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,272,price for 1 night,Budapest,4,4,1352,_ACCOM_TYPE@Hotel,4.1 /5,1,3078,1,50%-75% offer,2017,11,1,0
Hungary,Budapest,157,0.9 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,171,price for 1 night,Budapest,4,4,1352,_ACCOM_TYPE@Hotel,4.1 /5,0,3078,1,75%+ offer ,2018,5,1,0
Hungary,Budapest,123,0.9 miles,City centre,0.9 miles,Vaci Street,01. BudavÃ¡r,109,price for 1 night,Budapest,4,4.5,1477,_ACCOM_TYPE@Hotel,4.6 /5,1,3079,1,1-15% offer,2017,11,0,0
Hungary,Budapest,123,0.9 miles,City centre,0.9 miles,Vaci Street,01. BudavÃ¡r,637,price for 4 nights,Budapest,4,4.5,1477,_ACCOM_TYPE@Hotel,4.6 /5,1,3079,1,1-15% offer,2017,12,0,1
Hungary,Budapest,123,0.9 miles,City centre,0.9 miles,Vaci Street,01. BudavÃ¡r,135,price for 1 night,Budapest,4,4.5,1477,_ACCOM_TYPE@Hotel,4.6 /5,1,3079,1,1-15% offer,2017,12,0,1
Hungary,Budapest,111,0.5 miles,City centre,0.4 miles,Vaci Street,01. BudavÃ¡r,83,price for 1 night,Budapest,3,4.5,564,_ACCOM_TYPE@Hotel,4.3 /5,0,3080,1,15-50% offer,2018,1,1,0
Hungary,Budapest,111,0.5 miles,City centre,0.4 miles,Vaci Street,01. BudavÃ¡r,467,price for 4 nights,Budapest,3,4.5,564,_ACCOM_TYPE@Hotel,4.3 /5,1,3080,1,15-50% offer,2017,12,0,1
Hungary,Budapest,111,0.5 miles,City centre,0.4 miles,Vaci Street,01. BudavÃ¡r,114,price for 1 night,Budapest,3,4.5,564,_ACCOM_TYPE@Hotel,4.3 /5,1,3080,1,15-50% offer,2018,3,1,0
Hungary,Budapest,111,0.5 miles,City centre,0.4 miles,Vaci Street,01. BudavÃ¡r,83,price for 1 night,Budapest,3,4.5,564,_ACCOM_TYPE@Hotel,4.3 /5,0,3080,1,15-50% offer,2017,11,0,0
Hungary,Budapest,111,0.5 miles,City centre,0.4 miles,Vaci Street,01. BudavÃ¡r,114,price for 1 night,Budapest,3,4.5,564,_ACCOM_TYPE@Hotel,4.3 /5,0,3080,1,15-50% offer,2018,4,1,0
Hungary,Budapest,111,0.5 miles,City centre,0.4 miles,Vaci Street,01. BudavÃ¡r,114,price for 1 night,Budapest,3,4.5,564,_ACCOM_TYPE@Hotel,4.3 /5,0,3080,1,15-50% offer,2018,6,1,0
Hungary,Budapest,111,0.5 miles,City centre,0.4 miles,Vaci Street,01. BudavÃ¡r,103,price for 1 night,Budapest,3,4.5,564,_ACCOM_TYPE@Hotel,4.3 /5,0,3080,1,15-50% offer,2017,11,1,0
Hungary,Budapest,111,0.5 miles,City centre,0.4 miles,Vaci Street,01. BudavÃ¡r,114,price for 1 night,Budapest,3,4.5,564,_ACCOM_TYPE@Hotel,4.3 /5,0,3080,1,15-50% offer,2018,5,1,0
Hungary,Budapest,111,0.5 miles,City centre,0.4 miles,Vaci Street,01. BudavÃ¡r,83,price for 1 night,Budapest,3,4.5,564,_ACCOM_TYPE@Hotel,4.3 /5,0,3080,1,15-50% offer,2018,2,1,0
Hungary,Budapest,111,0.5 miles,City centre,0.4 miles,Vaci Street,01. BudavÃ¡r,95,price for 1 night,Budapest,3,4.5,564,_ACCOM_TYPE@Hotel,4.3 /5,0,3080,1,15-50% offer,2017,12,0,1
Hungary,Budapest,100,0.8 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,89,price for 1 night,Budapest,3,4.5,325,_ACCOM_TYPE@Apartment,4 /5,0,3081,1,15-50% offer,2017,12,0,1
Hungary,Budapest,100,0.8 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,95,price for 1 night,Budapest,3,4.5,325,_ACCOM_TYPE@Apartment,4 /5,1,3081,1,15-50% offer,2018,5,1,0
Hungary,Budapest,100,0.8 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,76,price for 1 night,Budapest,3,4.5,325,_ACCOM_TYPE@Apartment,4 /5,1,3081,1,15-50% offer,2017,11,0,0
Hungary,Budapest,100,0.8 miles,City centre,0.8 miles,Vaci Street,01. BudavÃ¡r,74,price for 1 night,Budapest,3,4.5,325,_ACCOM_TYPE@Apartment,4 /5,1,3081,1,15-50% offer,2017,11,1,0
Hungary,Budapest,382,1.4 miles,City centre,1.3 miles,Vaci Street,01. BudavÃ¡r,60,price for 1 night,Budapest,4,3.5,1712,_ACCOM_TYPE@Hotel,3.7 /5,0,3082,1,15-50% offer,2018,1,1,0
Hungary,Budapest,382,1.4 miles,City centre,1.3 miles,Vaci Street,01. BudavÃ¡r,53,price for 1 night,Budapest,4,3.5,1712,_ACCOM_TYPE@Hotel,3.7 /5,0,3082,1,15-50% offer,2018,2,1,0
Hungary,Budapest,382,1.4 miles,City centre,1.3 miles,Vaci Street,01. BudavÃ¡r,64,price for 1 night,Budapest,4,3.5,1712,_ACCOM_TYPE@Hotel,3.7 /5,0,3082,1,1-15% offer,2017,12,0,1
Hungary,Budapest,382,1.4 miles,City centre,1.3 miles,Vaci Street,01. BudavÃ¡r,81,price for 1 night,Budapest,4,3.5,1712,_ACCOM_TYPE@Hotel,3.7 /5,0,3082,1,15-50% offer,2018,5,1,0
Hungary,Budapest,382,1.4 miles,City centre,1.3 miles,Vaci Street,01. BudavÃ¡r,315,price for 4 nights,Budapest,4,3.5,1712,_ACCOM_TYPE@Hotel,3.7 /5,0,3082,0,0% no offer,2017,12,0,1
Hungary,Budapest,382,1.4 miles,City centre,1.3 miles,Vaci Street,01. BudavÃ¡r,81,price for 1 night,Budapest,4,3.5,1712,_ACCOM_TYPE@Hotel,3.7 /5,0,3082,1,15-50% offer,2018,6,1,0
Hungary,Budapest,382,1.4 miles,City centre,1.3 miles,Vaci Street,01. BudavÃ¡r,64,price for 1 night,Budapest,4,3.5,1712,_ACCOM_TYPE@Hotel,3.7 /5,0,3082,1,1-15% offer,2017,11,1,0
Hungary,Budapest,382,1.4 miles,City centre,1.3 miles,Vaci Street,01. BudavÃ¡r,60,price for 1 night,Budapest,4,3.5,1712,_ACCOM_TYPE@Hotel,3.7 /5,0,3082,1,15-50% offer,2017,11,0,0
Hungary,Budapest,148,0.7 miles,City centre,0.6 miles,Vaci Street,01. BudavÃ¡r,126,price for 1 night,Budapest,4,4.5,715,_ACCOM_TYPE@Hotel,4.4 /5,1,3083,1,50%-75% offer,2017,11,0,0
Hungary,Budapest,148,0.7 miles,City centre,0.6 miles,Vaci Street,01. BudavÃ¡r,130,price for 1 night,Budapest,4,4.5,715,_ACCOM_TYPE@Hotel,4.4 /5,1,3083,1,50%-75% offer,2018,3,1,0
Hungary,Budapest,148,0.7 miles,City centre,0.6 miles,Vaci Street,01. BudavÃ¡r,100,price for 1 night,Budapest,4,4.5,715,_ACCOM_TYPE@Hotel,4.4 /5,1,3083,1,50%-75% offer,2017,11,1,0
Hungary,Budapest,148,0.7 miles,City centre,0.6 miles,Vaci Street,01. BudavÃ¡r,1401,price for 4 nights,Budapest,4,4.5,715,_ACCOM_TYPE@Hotel,4.4 /5,1,3083,1,1-15% offer,2017,12,0,1
Hungary,Budapest,148,0.7 miles,City centre,0.6 miles,Vaci Street,01. BudavÃ¡r,148,price for 1 night,Budapest,4,4.5,715,_ACCOM_TYPE@Hotel,4.4 /5,1,3083,1,50%-75% offer,2018,5,1,0
Hungary,Budapest,148,0.7 miles,City centre,0.6 miles,Vaci Street,01. BudavÃ¡r,95,price for 1 night,Budapest,4,4.5,715,_ACCOM_TYPE@Hotel,4.4 /5,1,3083,1,75%+ offer ,2018,2,1,0
Hungary,Budapest,148,0.7 miles,City centre,0.6 miles,Vaci Street,01. BudavÃ¡r,91,price for 1 night,Budapest,4,4.5,715,_ACCOM_TYPE@Hotel,4.4 /5,1,3083,1,75%+ offer ,2017,12,0,1
Hungary,Budapest,148,0.7 miles,City centre,0.6 miles,Vaci Street,01. BudavÃ¡r,165,price for 1 night,Budapest,4,4.5,715,_ACCOM_TYPE@Hotel,4.4 /5,1,3083,1,50%-75% offer,2018,4,1,0
Hungary,Budapest,116,1.2 miles,City centre,1.1 miles,Vaci Street,01. BudavÃ¡r,116,price for 1 night,Budapest,3,4,329,_ACCOM_TYPE@Hotel,4.1 /5,1,3084,1,1-15% offer,2018,4,1,0
Hungary,Budapest,116,1.2 miles,City centre,1.1 miles,Vaci Street,01. BudavÃ¡r,59,price for 1 night,Budapest,3,4,329,_ACCOM_TYPE@Hotel,4.1 /5,1,3084,1,1-15% offer,2018,3,1,0
Hungary,Budapest,116,1.2 miles,City centre,1.1 miles,Vaci Street,01. BudavÃ¡r,86,price for 1 night,Budapest,3,4,329,_ACCOM_TYPE@Hotel,4.1 /5,1,3084,1,1-15% offer,2017,11,1,0
Hungary,Budapest,116,1.2 miles,City centre,1.1 miles,Vaci Street,01. BudavÃ¡r,88,price for 1 night,Budapest,3,4,329,_ACCOM_TYPE@Hotel,4.1 /5,1,3084,1,1-15% offer,2017,12,0,1
Hungary,Budapest,116,1.2 miles,City centre,1.1 miles,Vaci Street,01. BudavÃ¡r,59,price for 1 night,Budapest,3,4,329,_ACCOM_TYPE@Hotel,4.1 /5,1,3084,1,1-15% offer,2018,1,1,0
Hungary,Budapest,116,1.2 miles,City centre,1.1 miles,Vaci Street,01. BudavÃ¡r,116,price for 1 night,Budapest,3,4,329,_ACCOM_TYPE@Hotel,4.1 /5,1,3084,1,1-15% offer,2018,5,1,0
Hungary,Budapest,116,1.2 miles,City centre,1.1 miles,Vaci Street,01. BudavÃ¡r,59,price for 1 night,Budapest,3,4,329,_ACCOM_TYPE@Hotel,4.1 /5,1,3084,1,1-15% offer,2018,2,1,0
Hungary,Budapest,116,1.2 miles,City centre,1.1 miles,Vaci Street,01. BudavÃ¡r,59,price for 1 night,Budapest,3,4,329,_ACCOM_TYPE@Hotel,4.1 /5,1,3084,1,1-15% offer,2017,11,0,0
Hungary,Budapest,116,1.2 miles,City centre,1.1 miles,Vaci Street,01. BudavÃ¡r,116,price for 1 night,Budapest,3,4,329,_ACCOM_TYPE@Hotel,4.1 /5,1,3084,1,1-15% offer,2018,6,1,0
Hungary,Budapest,116,1.2 miles,City centre,1.1 miles,Vaci Street,01. BudavÃ¡r,363,price for 4 nights,Budapest,3,4,329,_ACCOM_TYPE@Hotel,4.1 /5,1,3084,1,1-15% offer,2017,12,0,1
Hungary,Budapest,12,0.8 miles,City centre,0.7 miles,Vaci Street,01. BudavÃ¡r,52,price for 1 night,Budapest,2.5,,,_ACCOM_TYPE@Apartment,2.7 /5,1,3085,0,0% no offer,2018,5,1,0
Hungary,Budapest,12,0.8 miles,City centre,0.7 miles,Vaci Street,01. BudavÃ¡r,141,price for 1 night,Budapest,2.5,,,_ACCOM_TYPE@Apartment,2.7 /5,1,3085,0,0% no offer,2017,12,0,1
Hungary,Budapest,12,0.8 miles,City centre,0.7 miles,Vaci Street,01. BudavÃ¡r,56,price for 1 night,Budapest,2.5,,,_ACCOM_TYPE@Apartment,2.7 /5,1,3085,0,0% no offer,2018,2,1,0
Hungary,Budapest,12,0.8 miles,City centre,0.7 miles,Vaci Street,01. BudavÃ¡r,39,price for 1 night,Budapest,2.5,,,_ACCOM_TYPE@Apartment,2.7 /5,1,3085,0,0% no offer,2017,11,1,0
Hungary,Budapest,12,0.8 miles,City centre,0.7 miles,Vaci Street,01. BudavÃ¡r,58,price for 1 night,Budapest,2.5,,,_ACCOM_TYPE@Apartment,2.7 /5,1,3085,0,0% no offer,2018,3,1,0
Hungary,Budapest,12,0.8 miles,City centre,0.7 miles,Vaci Street,01. BudavÃ¡r,58,price for 1 night,Budapest,2.5,,,_ACCOM_TYPE@Apartment,2.7 /5,1,3085,0,0% no offer,2018,6,1,0
