firm_id,firm_name,industry_code,region_code,founded,employees,export_status,revenue_q1,revenue_q2,revenue_q3,revenue_q4,investment
101,Amber Analytics,tech,central,2018-04-16,42,Yes,1380,1490,1575,1690,310
102,Birch Components,MFG,NORTH,2009-09-03,118,Y,2820,2910,3040,3190,540
103,Cobalt Foods,AGR,east,2014-02-12,64,No,1740,1680,1810,1920,220
104,Danube Distribution,LOG,SOUTH,2006-11-25,87,N,2250,2380,2440,2610,410
105,Elm Retail,ret,Central,2019-07-08,31,no,980,1040,1110,1290,115
106,Fern Energy,ENE,EAST,2001-05-21,156,YES,3940,4020,4180,4370,860
107,Garnet Systems,TECH,north,2016-01-19,53,yes,1860,1980,2140,2310,445
108,Harbor Manufacturing,mfg,SOUTH,1998-08-30,204,Yes,4880,5010,5150,5420,1020
109,Iris Logistics,LOG,central,2012-10-11,76,N,2130,2190,2280,2400,360
110,Juniper Markets,RET,EAST,2020-03-14,28,No,840,920,970,1080,95
111,Kestrel Farms,AGR,NORTH,2007-06-07,91,Y,2460,2390,2580,2710,330
112,Linden Software,Tech,SOUTH,2015-12-02,68,YES,2310,2470,2630,2810,590
113,Maple Power,ENE,central,2004-04-27,143,yes,3710,3840,3990,4210,790
114,Nova Textiles,MFG,east,2010-09-18,132,N,2980,3050,3120,3270,510
115,Orchid Freight,log,NORTH,2017-07-01,47,No,1480,1550,1630,1740,205
116,Pine Stores,RET,south,2013-05-09,59,N,1620,1710,1790,1910,180
117,Quartz Robotics,TECH,CENTRAL,2021-02-23,36,Y,1210,1390,1580,1850,680
118,Rowan Produce,AGR,EAST,2003-01-15,105,no,2670,2590,2760,2890,295
119,Saffron Engineering,MFG,north,1996-10-04,238,Yes,5520,5690,5810,6080,1260
120,Topaz Renewables,ENE,SOUTH,2011-06-29,97,Y,2790,2860,3010,3240,720
121,Umber Couriers,LOG,Central,2022-04-05,22,N,720,790,860,940,140
122,Violet Digital,TECH,EAST,2019-11-17,,Yes,1520,1660,1810,1990,520
123,Willow Home,RET,NORTH,2008-12-20,73,no,1980,2070,2160,,260
124,Zinc Agro,AGR,SOUTH,2016-08-12,51,N,1390,1440,1520,1610,-40
